"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Dominican Republic","DO",2022,2515,849,277,255,135,20,255,,3641,4051,665,4306,2515,422,0,545,1,220,20,20,12,,,58,224,,627,624,465,343,268,2609,0,10,11,15,,,52,133,,322,289,184,185,189,1354,0,88,62,,2470,522,127,,,4131,4131,166,178,10,7,19,25,0,,1,2,1,83,1,115,202,2231,380,147,25,,,134,35,40,9,14,5,12,5,97,19,0,1,0,0,2,0,0,0,16,1,3810,830,734,1,81,14,14,712,,,813,71249,813,8718,171,3702,0,,,,,,,,,,,
"Ecuador","EC",2022,4907,660,882,473,0,0,466,,6449,6922,939,7388,4907,939,0,165,1,221,90,,,90,,,,932,1259,882,624,449,531,4677,0,66,,,91,,,,361,405,306,276,250,310,1908,0,337,60,2955,,,,,,6898,6898,474,438,8,14,16,5,0,,1,5,1,220,1,226,77,5815,,490,,,,2300,,579,,252,,229,,213,16,0,0,0,0,0,0,0,0,16,1,5029,751,644,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Egypt","EG",2022,3459,781,3428,176,35,88,161,,7668,7967,460,8128,3459,337,0,714,,221,56,,,185,,,,858,1407,1012,654,564,385,4880,0,45,,,183,,,,649,586,508,357,300,218,2618,0,469,60,6447,,,,,,7998,7998,130,97,97,5,0,0,0,,0,,1,58,0,,97,1079,160,60,70,,,1079,160,65,51,60,70,4,12,113,0,0,0,0,0,0,0,0,0,0,0,4412,56,56,,,,,56,139,3634,,,139,3634,,,0,,,,,,,,,,,
"El Salvador","SV",2022,1581,291,369,275,0,1,20,,2241,2517,296,2537,1581,295,0,7,1,221,16,,,53,,,,206,748,354,162,133,164,1767,0,21,,,32,,,,77,96,106,119,104,126,628,0,122,60,1101,,,,,,1377,1377,17,15,0,0,0,0,0,,0,,1,7,1,8,15,870,240,10,7,,,870,240,1,1,10,7,1,1,8,0,0,0,0,0,0,0,0,0,0,1,2295,188,163,0,,,,163,,,,,,,1390,1853,0,,,,,,,,,,,
"Equatorial Guinea","GQ",2022,1361,890,671,152,108,53,67,,2922,3235,380,3302,1361,189,0,55,1,220,26,36,37,,,100,152,,392,437,225,149,75,1530,0,23,35,34,,,106,155,,525,381,178,93,76,1514,0,191,62,,1218,,311,,,3244,3244,58,56,0,0,2,2,0,,0,,0,,1,56,0,973,155,33,25,,,,,,,,,,,44,2,,,,,,,,,,1,2934,1613,1053,,,,,,,,,,,,,,0,,,,,,,,,,,
"Eritrea","ER",2022,700,566,576,64,40,17,21,,1842,1963,142,1984,700,64,0,0,1,221,117,,,91,,,,152,209,162,155,120,141,939,0,113,,,101,,,,93,118,123,78,91,99,602,0,422,60,1216,,,,,,1984,1984,26,26,0,0,0,0,0,,0,,1,26,0,,26,700,64,16,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1768,53,51,,,,,,,,,,,,,,0,,,,,,,,,,,
"Estonia","EE",2022,88,9,7,17,3,1,4,0,104,125,25,129,88,21,0,35,1,220,0,0,0,,,0,1,,7,20,22,20,17,87,0,0,0,0,,,1,1,,3,1,5,6,21,38,0,0,62,,105,0,6,,,103,91,19,14,0,0,7,7,0,,1,6,1,5,1,4,23,85,19,19,7,,,78,16,21,7,19,7,17,7,21,7,0,2,0,0,5,0,0,0,0,1,117,6,6,,,,,,,,,,,,,,0,,,,,,,,,17140,236,10
"Eswatini","SZ",2022,1143,715,386,61,38,31,101,,2244,2374,231,2475,1135,136,8,0,1,220,40,12,14,,,42,78,,285,431,228,147,104,1315,0,36,10,17,,,53,95,,232,272,128,89,61,930,0,129,60,1902,,,,,,1902,1902,70,70,14,8,0,0,0,,0,,1,10,1,74,84,1135,136,41,29,,,1135,136,26,40,41,29,4,7,70,0,0,0,0,0,0,0,0,0,0,1,2361,1536,1509,1,118,27,26,,,,,,,,,,0,,,,,,,,,,,
"Ethiopia","ET",2022,49893,27018,33308,3419,,,1779,,110219,113638,5198,115417,49893,5145,,,,221,1841,,,3991,,,,15203,16318,10603,7127,4744,3705,57700,,1419,,,4214,,,,12569,13765,8484,5134,2897,1624,44473,,11465,0,,,,,,,114756,114756,661,661,0,38,8,8,0,,0,,1,8,1,661,661,36781,,661,,,,716,177,55,24,661,18,,17,37,8,0,0,,0,,,,,8,0,98563,3854,3537,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Faroe Islands","FO",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiji","FJ",2022,142,256,139,16,15,3,53,,537,571,87,624,106,68,36,10,0,220,13,22,9,,,14,46,,52,66,50,28,31,287,0,12,13,10,,,12,20,,24,35,32,28,19,170,1,79,62,,34,17,10,,,61,4,4,4,1,0,0,0,0,,0,,1,4,0,,4,0,6,0,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,41,41,,,,,20,20,148,,,15,148,,,0,,,,,,,,,,,
"Finland","FI",2022,118,5,62,5,0,0,0,0,185,190,5,190,117,5,1,70,1,220,0,1,0,,,3,9,,11,8,9,8,47,95,0,4,1,1,,,2,4,,22,10,5,10,35,88,0,7,62,,86,0,41,,,182,137,5,5,0,0,3,3,0,,0,,1,9,0,,9,102,3,7,1,,,102,3,13,1,7,1,7,1,8,3,0,0,0,0,3,0,0,0,0,1,,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"France","FR",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,101,,,,,,,,,,,,,,,1,,,,,4.6,2021,3.7,5.8,402,,
"French Polynesia","PF",2022,37,0,12,5,0,1,,,49,55,6,55,37,5,0,2,1,222,,,,,3,,,3,5,1,5,12,7,33,,,,,,0,,,2,2,2,5,2,6,19,,3,60,41,,,,,,53,52,2,2,0,1,0,0,3,,3,,3,,1,1,2,36,3,2,0,,,,,,,,,,,,,,,,,,,,,,1,40,1,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Gabon","GA",2022,3964,1459,522,251,86,17,152,,5945,6299,506,6451,3964,403,0,0,1,221,28,,,69,,,,603,906,726,593,455,220,3503,0,30,,,64,,,,437,631,567,457,338,175,2605,0,191,0,,,,,,,4310,4310,76,70,0,1,14,25,0,,0,,1,25,1,70,0,1683,116,74,16,,,74,16,70,16,74,16,70,16,52,14,,,,,,,,,,1,1497,674,636,1,115,16,16,,,,,,1769,3239,,,0,,,,,,,,,,,
"Gambia","GM",2022,1862,449,122,102,0,0,41,,2433,2535,143,2576,1837,143,25,,1,221,40,,,73,,,,339,503,353,190,110,108,1603,,24,,,47,,,,173,198,134,99,92,52,748,,184,60,1040,,,,,,2564,10,12,11,0,0,1,1,0,,0,,0,,1,11,12,897,143,3,9,,,,,,,,,,,,,,,,,,,,,,0,2313,319,292,,,,,319,,,,,,,,,0,,,,,,,,,,,
"Georgia","GE",2022,993,57,267,153,12,29,143,5,1317,1511,337,1654,993,281,0,,1,220,8,10,10,,,30,43,,145,208,210,201,125,962,0,6,2,9,,,22,61,,124,109,50,57,81,504,0,45,62,,1142,66,233,,,1482,1473,117,109,8,0,55,49,0,,1,21,1,26,1,103,166,982,254,105,60,,,854,177,171,72,94,55,90,53,145,55,3,0,0,13,31,0,2,5,1,1,1466,42,35,,,,,35,21,549,,,,,,,,,,,,,,,,,,
"Germany","DE",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,1066300,,109
"Ghana","GH",2022,11407,3692,820,527,64,0,282,,15919,16510,873,16792,11391,730,16,,1,221,175,,,241,,,,830,2041,2938,2473,1496,1184,10962,0,137,,,274,,,,547,879,1123,854,526,595,4524,0,827,60,11999,,,,,,16330,16330,213,200,0,5,3,3,0,,1,3,1,3,1,194,200,11391,730,180,33,,,11391,66,52,7,180,33,28,4,213,3,,,,,,,,,,1,15210,2108,2044,,,,,,,,,,,,,,0,,,,,,,,,,,
"Greece","GR",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenland","GL",2022,40,5,7,5,0,1,0,0,52,58,6,58,40,5,0,1,1,220,0,1,0,,,0,5,,12,4,4,7,5,37,0,1,0,0,,,1,2,,5,1,2,6,2,19,0,2,62,,43,5,7,,,58,0,0,0,0,0,0,0,0,,0,,0,,0,,0,29,2,0,0,,,29,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grenada","GD",2022,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,1,220,0,0,0,,,0,0,,1,0,0,0,0,1,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,0,,,,,,1,1,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,1,1,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Guam","GU",2022,54,5,0,0,0,0,0,,59,59,0,59,54,0,0,40,0,220,1,2,0,,,1,1,,2,2,6,10,12,34,0,2,0,1,,,0,0,,3,6,4,2,4,19,0,6,60,55,,,,,,58,57,1,1,0,0,0,0,0,,1,1,0,,0,,1,52,0,1,0,,,52,0,46,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,58,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Guatemala","GT",2022,2920,541,312,258,50,11,65,,3773,4092,384,4157,2920,258,0,0,1,220,94,97,43,,,100,254,,525,454,320,222,289,2164,5,84,82,25,,,79,144,,305,261,272,220,212,1493,5,425,60,2317,,,,,,4091,856,66,63,0,1,11,7,0,,1,2,1,3,1,60,63,2473,245,53,13,,,2473,245,41,13,53,13,16,3,66,11,0,0,0,0,0,0,0,0,11,1,4019,321,304,1,412,1,1,304,,,,,,,,,0,,,,,,,,,,,
"Guinea","GN",2022,11030,3054,5280,519,40,31,340,,19364,19954,930,20294,11030,519,0,,1,221,159,,,510,,,,2075,3149,2734,1903,1080,887,11828,0,121,,,425,,,,1474,1786,1375,1039,682,555,6911,0,1215,60,7509,,,,,,19960,19960,334,334,0,7,18,6,0,,0,,1,13,1,321,334,6579,414,237,97,,,94,108,78,86,80,97,78,83,171,18,,,,,,,,,,1,18012,3336,3291,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Guinea-Bissau","GW",2022,2520,351,80,19,11,2,22,,2951,2983,54,3005,2520,41,0,0,1,221,19,,,49,,,,287,503,473,286,160,81,1790,0,10,,,36,,,,201,300,265,133,103,77,1079,0,114,0,,,,,,,3005,3005,,41,0,0,0,0,0,,3,,3,,3,,41,2520,19,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2717,794,550,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Guyana","GY",2022,187,150,23,22,8,0,49,,360,390,79,439,187,47,0,7,1,221,2,,,2,,,,30,54,64,66,34,26,274,,0,,,4,,,,17,15,30,14,19,13,108,,8,60,196,,,,,,436,436,,3,,,,,0,,0,,0,,0,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,1,313,47,47,1,8,1,0,47,,,,,,,40,47,0,,,,,,,,,,,
"Haiti","HT",2022,7912,1589,942,494,160,41,278,,10443,11138,973,11416,7905,564,7,0,1,220,246,91,111,,,573,653,,1883,1263,727,434,356,5889,0,234,107,134,,,523,564,,1270,884,494,323,268,4326,0,923,62,,4568,1749,5,,,11345,11341,71,69,0,0,0,0,0,,0,,1,69,0,,69,4231,440,53,18,,,53,18,53,18,53,18,53,18,27,0,0,0,0,0,0,0,0,0,0,1,10598,1544,1388,1,840,74,68,,,,,,,,,,0,,,,,,,,,,,
"Honduras","HN",2022,1806,145,193,138,11,4,32,,2144,2297,185,2329,1806,153,,0,1,221,4,,,28,,,,222,297,214,219,219,252,1423,0,7,,,19,,,,133,129,119,115,119,201,816,0,58,60,414,,,,,,2297,21,21,17,0,0,0,0,0,,0,,1,17,0,,17,1005,125,14,4,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,2219,139,111,1,58,1,1,139,75,1151,,,,,879,1134,0,,,,,,,,,,,
"Hungary","HU",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iceland","IS",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India","IN",2022,965360,602009,550583,119548,8221,8526,146440,,2117952,2254247,282735,2400687,965360,191730,0,0,1,220,20457,19999,25055,,,87707,129723,,236735,223252,233165,214132,172671,1297385,0,12401,14859,37631,,,114610,139102,,202593,120694,101478,84184,63799,826460,0,130402,62,,468170,63668,75812,,,2336508,2289778,51907,49831,0,1343,12269,11779,0,,1,319,1,28731,1,32560,61610,728182,158713,11669,47415,104231,45139,170210,58550,7041,26877,4199,21095,2504,15853,23846,12002,4,5,55,13,52,1042,8,8,10815,1,2168100,36481,35709,1,120144,655,394,,,,,,,,,,0,,,,,,,,,,,
"Indonesia","ID",2022,344212,294429,52796,11669,4910,642,15651,,691437,708658,32872,724309,290203,24125,54009,90,1,220,33341,16264,8068,,,17630,29718,,57814,61610,70097,66940,46949,350758,0,29498,14187,9278,,,22729,30452,,46041,41734,46191,37906,22211,247264,0,110636,62,,322299,92798,10358,,,711778,617949,11833,7745,0,58,672,715,0,,1,63,1,5455,1,2905,4833,231363,15959,7447,5010,7964,2563,3109,2250,1776,1509,3101,2237,1768,1496,6387,671,2,27,2,12,506,23,0,8,91,1,366038,14921,4399,1,32898,799,83,,,,,,,,,,0,,,,,,,,,,,
"Iran (Islamic Republic of)","IR",2022,4729,648,1492,290,46,56,152,,6869,7261,544,7413,4729,421,0,1658,1,220,51,38,28,,,123,252,,559,696,604,597,1083,3914,0,35,37,63,,,131,188,,374,311,368,543,1180,3095,0,252,60,216,,,,,,7377,7377,36,29,0,1,0,0,0,,0,,1,29,0,,29,2937,378,16,20,,,880,228,37,48,16,20,10,10,19,0,0,0,0,0,0,0,0,0,0,1,6797,132,131,,,,,131,,,,,,,,,0,,,,,,,,,,,
"Iraq","IQ",2022,2422,1040,2885,160,61,75,44,,6347,6643,340,6687,2422,194,0,46,,221,73,,,136,,,,546,831,706,579,334,441,3437,0,49,,,200,,,,597,485,432,415,348,471,2748,0,458,0,,,,,,,6510,6510,144,144,26,9,7,7,0,,0,,1,137,0,,177,1919,194,52,99,,,1919,194,14,19,52,99,12,16,151,7,,,,,,,,,,1,5953,1,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Ireland","IE",2022,93,56,48,,,,19,0,197,197,19,216,68,15,25,107,1,220,1,1,0,,,4,8,,31,22,13,19,16,113,0,2,1,0,,,3,6,,28,11,10,8,9,75,0,5,62,,59,3,19,,,206,205,8,4,0,0,2,2,3,,3,,3,,3,,15,61,11,7,2,,,60,10,8,2,7,2,7,2,5,2,0,0,0,0,2,0,0,0,0,1,72,5,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"Israel","IL",2022,96,46,60,1,0,0,4,0,202,203,5,207,,5,,59,1,220,9,3,2,,,4,2,,21,29,13,8,23,100,,9,2,1,,,4,3,,14,18,12,8,18,77,,26,0,,,,,,,194,192,11,11,,1,2,2,3,,3,,1,5,0,,,117,,9,,,,82,,16,,9,,9,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Italy","IT",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamaica","JM",2022,48,35,0,0,0,0,0,,83,83,0,83,48,0,0,,,221,0,,,1,,,,6,23,13,12,4,6,64,,2,,,1,,,,2,0,3,4,4,2,15,,4,60,23,,,,,,83,83,0,0,0,0,0,0,0,,0,,0,,0,,0,48,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,58,10,10,1,2,1,1,,,,,,,,,,0,,,,,,,,,,,
"Japan","JP",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan","JO",2022,87,27,111,0,0,2,9,,225,227,11,236,87,9,0,31,1,222,,,,,8,,,9,25,19,17,16,14,100,0,,,,,13,,,21,35,25,10,7,8,106,0,21,62,,87,21,1,,,231,231,5,4,1,0,0,0,0,,0,,0,,0,,5,67,1,4,1,,,62,1,4,0,4,1,2,0,5,0,,,,,,,,,,0,227,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kazakhstan","KZ",2022,5874,572,906,2337,235,85,194,4,7352,10009,2851,10203,5874,2527,0,155,1,220,44,28,50,,,252,286,,837,1399,1414,1134,704,6026,0,41,40,90,,,250,295,,712,644,499,472,818,3690,0,293,60,9974,,,,,,5887,5856,3033,3022,760,57,534,534,0,,0,,0,,1,518,518,5874,2523,1967,1461,2337,1339,5874,2523,2503,1654,1967,1461,1604,1297,,517,,,,,,,,,,1,9829,645,552,,,,,552,,,,,,,,,0,,,,,,,,,,,289
"Kenya","KE",2022,42828,30168,10379,3077,1974,264,2153,,83375,88690,7468,90843,42818,3200,10,0,1,221,3239,,,2027,,,,8012,13379,13962,8774,4457,3860,52444,,2971,,,2011,,,,5368,6672,5763,3748,2161,2286,25998,,10248,62,,26374,8464,2554,,,89599,62688,236,331,12,13,8,8,0,,0,,1,319,0,,115,23871,1980,138,54,,,241,181,203,149,38,28,0,1,20,1,0,0,1,0,0,0,0,0,0,1,82769,19906,19308,1,9226,985,955,,,,,,,,52099,109563,0,,,,,,,,,,,
"Kiribati","KI",2022,193,57,100,7,3,0,4,,350,360,14,364,193,7,0,0,1,221,14,,,18,,,,31,30,27,44,19,16,167,,8,,,15,,,,48,22,23,19,20,6,138,,55,62,,194,34,20,,,363,363,1,1,0,1,0,0,0,,1,1,0,,0,,1,187,7,1,0,,,,,,,,,,,,,,,,,,,,,,1,217,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kosovo","XA",2022,186,256,141,20,7,5,0,,583,615,32,615,,,,,1,221,9,,,11,,,,45,57,39,43,69,67,320,,5,,,8,,,,30,35,33,43,42,79,262,,33,60,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,387,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuwait","KW",2022,303,79,175,4,0,0,0,,557,561,4,561,303,4,0,495,1,221,1,,,4,,,,14,69,92,118,43,21,357,,2,,,4,,,,9,66,53,35,19,11,193,,11,62,,275,58,112,,,556,556,2,2,0,0,3,3,0,,0,,1,5,,,5,307,4,5,0,,,307,4,21,0,5,0,4,0,5,3,,,,,,,,,,1,,4,4,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kyrgyzstan","KG",2022,2173,1042,827,328,155,43,549,147,4042,4568,1075,5117,2173,701,0,0,1,221,47,,,136,,,,463,440,387,408,424,293,2415,0,34,,,116,,,,346,461,224,219,242,328,1820,0,333,60,3850,,,,,,4181,4077,702,643,96,69,135,116,0,,1,96,1,699,1,60,748,2092,654,486,295,302,137,2092,,768,,486,,450,,749,114,4,8,0,9,93,0,0,,0,1,4568,124,102,,,,,,,,,,,,,,0,,,,,,,,,,,176
"Lao People's Democratic Republic","LA",2022,5061,2576,459,260,170,8,79,,8096,8534,517,8613,5061,300,0,63,1,221,11,,,40,,,,422,863,890,1009,1246,1205,5635,1,15,,,29,,,,237,288,391,536,650,701,2803,0,95,62,,5284,2628,369,,,8561,8561,52,41,0,0,0,0,0,,0,,0,,1,35,35,5061,300,19,33,,,,,,,,,,,41,0,0,0,0,0,0,0,0,0,0,1,7627,343,235,,,,,,,,1565,10130,613,1704,,,0,,,,,,,,,,,
"Latvia","LV",2022,259,20,17,9,1,0,13,2,296,306,23,319,248,20,11,40,1,220,1,1,1,,,3,9,,22,42,59,41,37,213,0,1,1,0,,,4,2,,17,10,22,16,17,88,0,5,62,,245,0,10,,,289,226,27,17,0,0,3,1,0,,0,,0,,1,27,30,217,16,26,3,,,217,16,57,6,26,3,26,3,26,3,0,0,0,0,2,1,0,0,0,1,306,28,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Lebanon","LB",2022,271,34,203,2,0,0,6,,508,510,8,516,271,4,0,249,1,220,6,7,7,,,14,16,,53,38,28,15,24,188,0,6,8,20,,,22,49,,83,46,22,23,23,268,0,54,62,,251,19,43,,,511,510,2,2,1,0,1,1,0,,0,,1,3,1,1,4,246,4,3,0,,,68,4,2,0,3,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,330,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Lesotho","LS",2022,2891,1424,393,493,345,53,71,,4708,5599,962,5670,2891,536,0,,1,220,96,49,30,,,49,127,,598,784,620,527,805,3510,,92,35,40,,,71,133,,414,394,293,172,270,1747,,342,60,5120,,,,,,5563,5529,107,134,0,0,3,3,0,,0,,1,25,1,109,134,2648,458,81,21,,,2648,458,9,0,81,21,9,0,102,3,,,,,,,,,,1,5388,3017,2872,1,303,65,62,,,,,,,,,,0,,,,,,,,,,,
"Liberia","LR",2022,4230,1125,1581,89,17,31,137,,6936,7073,274,7210,4200,89,30,,1,221,275,,,207,,,,653,1002,878,638,350,205,3726,0,235,,,233,,,,509,496,479,396,268,163,2311,0,950,60,2231,,,,,,7085,7085,122,122,3,8,0,0,0,,0,,1,2,1,23,125,74,48,74,48,,,74,48,0,0,74,48,,0,0,0,,,,,,,,,,0,6168,687,622,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Libya","LY",2022,1084,211,863,10,0,0,71,,2158,2168,81,2239,1084,53,0,446,0,221,11,,,40,,,,498,462,214,138,86,69,1467,0,5,,,51,,,,147,135,107,81,52,62,584,0,107,60,,,,,,,,,18,17,0,0,1,1,0,,0,,1,1,1,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1987,23,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Lithuania","LT",2022,535,39,53,97,0,0,14,0,627,724,111,738,535,111,0,14,1,220,3,3,2,,,7,18,,38,81,155,142,76,517,0,0,1,6,,,3,5,,28,35,38,36,47,192,0,15,62,,0,0,0,,,623,623,91,40,0,0,24,24,,,,,,,,,,535,111,81,32,,,535,111,124,39,81,32,76,32,63,24,0,1,1,1,12,7,0,0,2,1,695,19,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxembourg","LU",2022,31,2,14,0,0,0,1,0,47,47,1,48,1,1,30,43,1,220,0,0,1,,,2,3,,10,7,6,4,0,32,0,0,0,0,,,1,2,,3,1,1,3,3,14,0,1,62,,17,0,5,,,47,47,1,0,0,0,0,0,,,,,,,,,,1,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0
"Madagascar","MG",2022,28870,5032,9229,1605,254,255,641,,43131,45245,2755,45886,28870,1871,0,0,1,221,841,,,1538,,,,4487,5672,5151,4269,3066,1857,24502,0,780,,,1568,,,,4324,4078,3051,2211,1443,909,16016,0,4727,60,5176,,,,,,45245,45245,139,85,0,3,1,1,0,,0,,0,,1,85,71,4824,1104,87,52,,,233,329,13,15,51,41,13,12,49,1,0,0,0,0,1,0,0,0,0,1,27224,638,512,,,,,,,,,,,,,,0,,,,,,,,,,,
"Malawi","MW",2022,7045,2981,6210,818,462,509,230,,16236,18025,2019,18255,7045,970,0,0,1,221,329,,,498,,,,1017,2253,2945,1869,1009,1000,10093,0,290,,,399,,,,878,1391,1650,1148,750,599,6416,0,1516,60,9891,,,,,,18146,18146,104,97,16,8,5,4,0,,0,,1,94,1,17,117,4232,772,59,41,,,,,,,,,,,62,5,,,,,,,,,,1,17982,8713,8691,0,,,,,,,,,,,,,0,,,,,,,,,,,
