"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Tonga","TO",2021,7,0,0,0,0,0,0,,7,7,0,7,7,0,0,1,0,222,,,,,0,,,1,0,1,0,0,2,4,0,,,,,0,,,1,0,1,0,1,0,3,0,0,0,,,,0,0,0,0,0,0,0,,0,,0,,0,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"Trinidad and Tobago","TT",2021,96,48,15,8,3,1,9,,159,171,21,180,96,17,0,4,1,220,1,0,1,,,5,7,,19,29,27,21,17,125,0,0,1,3,,,1,7,,14,2,6,5,5,40,0,6,60,,,,,,2,,0,,0,,1,2,0,,2,57,10,0,0,,,,,,,,,,,,,,,,,,,,,,1,161,17,12,1,6,0,,,,,,,,,,,0,,,,,,,,,,,
"Tunisia","TN",2021,771,131,1698,22,2,13,10,,2600,2637,47,2647,770,32,1,,1,221,7,,,54,,,,183,229,235,202,171,169,1189,5,10,,,85,,,,219,245,235,204,188,188,1279,8,156,60,1957,,,18,2,0,10,0,0,0,,1,0,1,0,0,370,30,5,11,,,370,30,12,9,5,11,5,9,16,2,,,,,,,,,,1,1254,16,16,,,,,16,16,270,46,1532,5,270,,,0,,,,,,,,,,,
"Türkiye","TR",2021,4166,1187,3238,255,74,127,109,29,8591,9047,565,9156,4166,312,0,1436,1,220,80,46,60,,,278,531,,738,690,777,951,988,4953,0,57,39,105,,,313,394,,683,568,484,489,776,3707,0,387,60,318,,,119,10,19,101,6,5,1,1,1,35,0,,,3654,248,95,25,,,3652,248,404,54,94,25,78,24,101,10,0,0,0,0,6,3,0,0,1,1,7249,85,64,,,,,,,,,,,,,,0,,,,,,,,,,,
"Turkmenistan","TM",2021,541,526,397,203,194,17,544,450,1464,1878,958,2422,541,295,0,0,1,222,,,,,13,,,116,241,240,259,168,82,1106,0,,,,,11,,,130,179,148,98,97,96,748,0,24,60,889,,,521,287,0,521,1,287,1,808,1,100,1,107,808,541,295,251,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,474,474,176
"Turks and Caicos Islands","TC",2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Tuvalu","TV",2021,19,3,1,1,0,0,0,,23,24,1,24,19,1,0,0,1,221,0,,,0,,,,0,2,3,3,2,4,14,0,1,,,0,,,,4,3,0,0,0,0,7,0,1,61,,22,22,1,1,0,1,0,0,0,,1,1,0,,1,19,1,1,1,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Uganda","UG",2021,38036,30069,3035,2132,1442,85,1469,,71140,74799,5128,76268,38012,3105,24,2439,1,220,2636,1212,944,,,1094,2604,,9081,10477,,,,23256,17607,2493,1208,983,,,1131,2402,,5986,5452,,,,14971,9489,9476,60,51374,,,502,4,,502,7,4,1,447,1,107,1,342,502,28418,2210,232,181,,,253,68,161,34,189,42,149,23,298,4,,,,,,,,,,0,74254,23692,23674,1,6882,1027,967,23674,18565,122531,248010,1320271,16833,122531,305610,323141,0,,,,,,,,,,,
"Ukraine","UA",2021,9476,3830,1361,2780,665,195,1486,133,14667,18307,5126,19793,9476,4095,0,32,1,221,59,,,169,,,,473,1936,4071,3217,2128,936,12761,0,58,,,177,,,,300,993,1471,965,645,709,5083,0,463,60,17451,,,3031,1015,334,3427,91,1460,1,4807,1,2128,1,1633,4887,9237,3977,2418,1607,2712,1397,9237,3977,2636,1451,2418,1607,1881,1218,3266,994,1,27,0,13,847,44,0,19,43,1,17991,3646,3354,,,,,3354,1835,15973,21013,130239,10816,15973,,,0,,,,,,,,,714236,23556,2873
"United Arab Emirates","AE",2021,33,4,29,1,0,0,1,,66,67,2,68,33,2,0,0,,221,2,,,2,,,,11,8,8,7,6,2,42,0,0,,,1,,,,4,5,2,2,3,4,20,0,5,60,25,,,0,0,0,0,0,0,0,,0,,0,,0,23,2,0,0,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,1,,,,,1,1,87,,,1,87,4,6,0,,,,,,,,,,,
"United Kingdom of Great Britain and Northern Ireland","GB",2021,1972,433,2166,101,26,97,0,0,4571,4795,224,4795,1972,101,0,3600,1,221,23,,,48,,,,358,660,591,464,363,402,2838,,17,,,52,,,,213,484,377,278,187,278,1817,,140,60,807,,,38,37,3,37,5,15,1,,3,,3,,,1734,78,33,5,,,1731,78,119,8,33,5,29,4,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"United Republic of Tanzania","TZ",2021,29527,39400,16223,788,600,163,714,,85150,86701,2265,87415,29527,1100,0,81,1,220,4138,1772,1457,,,1361,2729,,7945,9803,8763,6430,7916,44947,,3815,1592,1264,,,1093,2007,,5142,5747,4984,3958,4785,27716,,14038,60,35644,,,442,6,1,437,6,6,1,398,1,302,1,123,431,26624,1080,346,97,,,539,216,34,20,61,31,19,12,118,6,0,0,0,0,0,0,0,0,6,1,85909,15321,15238,1,13909,1264,1253,15184,,,253431,1519067,,,,,0,,,,,,,,,,,
"United States of America","US",2021,5197,743,1617,,,,315,,7557,7557,315,7872,5104,229,93,5621,1,220,84,36,35,,,116,235,,660,621,690,801,1325,4448,,74,19,65,,,125,184,,505,397,393,422,767,2793,,313,0,,,,95,7,0,92,4,7,1,,1,,1,,77,4814,195,74,13,,,4797,193,430,25,74,12,59,9,57,5,0,0,0,0,0,0,0,0,5,1,6743,296,,1,216,2,,,,,,,,,,,0,,,,,,,,,,,
"Uruguay","UY",2021,636,148,93,55,10,9,80,,877,951,154,1031,636,76,0,4,1,221,6,,,8,,,,85,153,129,100,96,89,652,0,8,,,12,,,,55,58,49,41,32,30,265,0,34,60,318,,,1,0,0,1,0,0,1,1,0,,0,,1,510,48,1,0,,,491,48,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,856,115,52,1,34,0,0,,,,,,,,,,0,,,,,,,,,,,
"Uzbekistan","UZ",2021,4929,2124,5099,961,221,210,1906,674,12152,13544,3298,15450,4929,1868,0,0,1,220,142,396,419,,,374,417,,991,1104,1181,1228,974,6269,0,101,350,417,,,326,390,,938,881,787,1003,1125,5450,0,1825,60,13273,,,1753,394,88,1753,63,394,1,1432,0,,1,189,,4929,1868,912,740,961,411,4929,1868,913,740,912,740,792,718,1645,394,19,7,,63,305,,,,,0,15450,441,395,,,,,,,,,,,,,,0,,,,,,,,,,,333
"Vanuatu","VU",2021,42,0,26,1,0,0,0,,68,69,1,69,42,1,0,0,1,221,0,,,2,,,,7,8,2,4,5,6,32,0,1,,,1,,,,13,7,7,4,2,0,33,0,4,60,1,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Venezuela (Bolivarian Republic of)","VE",2021,5990,1587,1054,416,25,18,466,,8631,9090,925,9556,5990,882,0,21,1,220,76,56,66,,,273,858,,1964,960,641,564,495,5755,0,53,43,80,,,228,367,,658,502,416,353,437,2961,0,374,60,192,,,28,4,0,28,0,4,1,18,1,13,1,15,28,198,226,4,22,,,70,97,2,7,4,22,2,7,26,4,0,0,0,0,0,0,0,0,4,1,4598,324,301,1,259,23,19,,250,6062,85,57314,,,104,109,0,,,,,,,,,,,
"Viet Nam","VN",2021,43581,13382,15838,4034,560,262,1278,,72801,77657,6134,78935,43545,4930,36,5,1,220,102,79,164,,,1196,2661,,7642,9385,11892,11603,9990,54369,,100,76,224,,,1071,1967,,4722,3431,2981,3408,4666,22246,,745,60,74204,,,2459,181,0,2354,13,170,1,339,1,453,1,,1397,38689,4583,1682,668,4535,431,,3438,,1220,,609,,573,239,62,,,,,8,,,,54,1,63900,1945,1521,,,,,1568,,,13483,163284,7470,15369,,,0,,,,,,,,,,,
"Wallis and Futuna Islands","WF",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen","YE",2021,2452,2823,3882,118,53,39,29,,9157,9367,239,9396,2452,137,0,0,,221,226,,,361,,,,876,1052,736,624,536,523,4347,0,221,,,338,,,,813,825,765,587,493,391,3874,0,1146,0,,,,48,0,0,40,0,0,1,40,1,40,0,,40,572,64,18,30,,,554,64,12,15,16,30,7,14,5,0,,,,,,,,,,1,1657,37,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Zambia","ZM",2021,19826,21556,2530,1968,3947,248,750,,43912,50075,6913,50825,19826,1978,,,1,221,999,,,1017,,,,2517,7496,8654,5711,2979,3014,30371,,920,,,954,,,,2032,3484,3708,2779,1889,1922,15814,,3890,60,50075,,,426,5,5,426,20,5,1,410,1,395,1,25,415,16922,1487,325,101,1487,101,253,,61,,46,,34,,83,5,0,0,0,0,0,0,0,2,3,0,48168,16272,15902,1,3529,774,705,15902,16272,167816,786242,1197703,151029,167816,262459,300682,0,,,,,,,,,,,
"Zimbabwe","ZW",2021,8311,6228,1134,329,249,59,231,,15673,16310,868,16541,8275,418,36,,1,220,256,130,144,,,246,716,,2383,3174,1739,837,969,10064,0,209,71,112,,,249,478,,1216,1375,899,534,573,5324,0,922,60,16310,,,243,0,0,232,10,0,1,232,1,0,1,232,232,,,,,,,,,,,,,,,144,0,,,,,,,,,,1,16182,8056,7647,0,,,,7644,2223,74234,293574,1188636,54560,74234,140732,156512,0,,,,,,,,,,,
