"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Fiji","FJ",2021,132,126,72,5,5,2,30,,330,342,42,372,132,5,0,9,1,221,8,,,16,,,,28,43,34,35,25,17,182,0,11,,,15,,,,19,25,21,13,18,10,106,4,50,60,138,,,4,0,0,3,1,0,1,2,0,,1,3,3,127,5,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,344,28,28,,,,,,,,,,,,,,0,,,,,,,,,,,
"Finland","FI",2021,105,10,52,2,0,1,0,0,167,170,3,170,101,2,4,70,1,220,1,0,0,,,5,9,,20,10,6,8,49,107,0,1,1,1,,,2,4,,12,3,5,5,28,59,0,4,60,105,,,3,0,0,1,0,0,1,2,1,2,0,,2,87,0,2,0,,,87,0,7,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"France","FR",2021,1856,907,1279,0,0,0,232,54,4042,4042,232,4274,1171,126,685,2610,1,220,39,16,33,,,220,290,,639,412,284,213,493,2551,0,40,15,24,,,67,133,,268,252,195,130,279,1324,0,167,60,0,,,32,11,0,0,0,0,1,,1,,1,,,17,6,17,6,,,17,6,17,6,17,6,17,6,22,7,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,1,,,,,5.3,2020,4.2,6.5,401,,401
"French Polynesia","PF",2021,32,0,2,0,0,0,3,,34,34,3,37,32,3,0,0,1,222,,,,,0,,,1,2,4,5,5,4,21,0,,,,,0,,,3,1,2,2,2,3,13,0,0,60,33,,,6,0,0,5,0,0,3,,3,,3,,5,32,3,5,1,,,,,,,,,,,,,,,,,,,,,,0,34,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Gabon","GA",2021,2479,1721,644,118,100,11,128,,4844,5073,357,5201,2479,118,0,0,1,221,34,,,97,,,,628,938,666,440,216,114,3002,0,32,,,99,,,,415,567,386,215,143,83,1809,0,262,60,2665,,,77,6,0,63,0,6,1,63,1,6,1,57,6,807,118,45,32,,,802,118,45,32,45,32,45,32,56,4,,,,,,,,,,1,1932,704,472,1,15,15,12,472,472,704,,,,,,,0,,,,,,,,,,,
"Gambia","GM",2021,1532,490,140,92,0,0,25,,2162,2254,117,2279,1532,117,0,0,1,221,19,,,38,,,,323,450,299,185,124,125,1506,0,14,,,48,,,,143,167,125,72,67,55,629,0,119,0,,,,12,0,0,12,0,0,0,,0,,0,,12,1175,117,3,9,,,217,0,217,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,260,231,,,,,231,,,,,,,,,0,,,,,,,,,,,
"Georgia","GE",2021,955,52,291,164,10,29,144,8,1298,1501,347,1645,955,286,0,,1,220,6,8,8,,,31,59,,164,215,206,199,116,990,0,5,7,13,,,25,51,,135,91,57,47,58,464,0,47,60,1403,,,149,38,19,140,6,35,1,167,1,33,1,126,194,953,267,101,79,,,790,177,149,83,88,64,84,62,148,37,2,2,0,5,21,0,1,4,2,1,1430,43,43,,,,,39,23,497,,,,,,,0,,,,,,,,,59906,7348,56
"Germany","DE",2021,2362,252,1064,80,7,27,104,19,3678,3792,218,3896,1720,147,642,2782,1,220,36,11,23,,,116,303,,568,362,316,284,412,2361,2,33,16,34,,,63,144,,309,198,149,127,283,1273,1,153,60,3267,,,85,11,0,48,0,10,,,,,,,,1440,108,54,9,,,1421,106,112,11,53,9,44,8,39,5,0,0,0,0,0,0,1,4,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Ghana","GH",2021,8893,3098,888,459,55,8,245,,12879,13401,767,13646,8878,618,15,,1,221,162,,,183,,,,691,1707,2394,1899,1110,1027,8828,0,136,,,164,,,,483,743,830,680,451,523,3710,0,645,60,12525,,,217,1,0,200,0,1,1,201,1,40,1,160,201,8532,618,188,30,,,188,30,22,12,188,30,22,12,189,1,,,,,,,0,0,1,1,12632,1820,1753,,,,,1753,1430,29405,19063,,,,,,0,,,,,,,,,,,
"Greece","GR",2021,148,16,29,2,0,0,11,2,193,195,13,206,122,10,26,148,1,220,3,1,0,,,22,22,,34,16,12,14,20,140,0,0,0,1,,,1,9,,16,7,3,3,9,48,0,5,60,91,,,5,0,0,0,0,0,,,,,,,,55,3,5,0,,,54,3,9,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
